id,name,brand,series,model,description,imageUrls,productType,price
"Xrrs8L5dC6NYZHWxAbYo","Samsung Battery EB-BG975ABU 4100 mAh SM-G975F Galaxy S10+ GH82-18827A","Samsung","S series","Samsung Galaxy S10+","Suitable for:\n\nSamsung Galaxy S10+",["https://mpsmobile.de/data/product/images/detail/normal/19D6D7D8-666D-64BA-229D-F02752FEB4A8.jpg","https://mpsmobile.de/data/product/images/detail/normal/926CA68E-1E43-FAB8-8BC9-9012CCAC1277.jpg"],"Batteries",37
"apMJv2pEFH2H8Qiu1T7M","OEM Display Unit for Huawei P8 white","Huawei","P series","Huawei P8","Info: OEM Display Unit for Huawei P8 white\n\nSuitable for:\n\nHuawei P8",["https://mpsmobile.de/data/product/images/detail/normal/B65CA842-B8C3-5280-EA8D-CBE951985EFC.jpg","https://mpsmobile.de/data/product/images/detail/normal/72D244BC-DF19-7F03-02D1-AB5C3C75266A.jpg"],"LCD Display",6.9
"ePnoDGT8QYBJDQ35bIQX","MPS Battery EB-BA920ABU for Samsung A920F Galaxy A9 (2018)","Samsung","A series","Samsung Galaxy A9 (2018)","Suitable for:\n\nSamsung Galaxy A9 (2018)",["https://mpsmobile.de/data/product/images/detail/normal/0755CF32-07A5-82B9-1B65-69A688E9CB68.jpg","https://mpsmobile.de/data/product/images/detail/normal/4EC26192-5E9D-CB1C-C7E3-E1D66AE711DF.jpg"],"Batteries",44
"fMEp4FJzm9Zx0qeAFhbI","OEM Display Unit + Frame for Huawei Ascend P8 white","Huawei","P series","Huawei P8","Info: OEM Display Unit + Frame for Huawei Ascend P8 white\n\nSuitable for:\n\nHuawei P8",["https://mpsmobile.de/data/product/images/detail/normal/ED73A165-362B-AE20-4717-75B03CE9CCD9.jpg","https://mpsmobile.de/data/product/images/detail/normal/6206E89D-F889-6894-96F2-D3F8B51A065A.jpg"],"LCD Display",6.9
"fkjn6bHN2l54mnw8qF5W","MPS Battery EB-BG950ABE for Samsung G950F Galaxy S8","Samsung","S series","Samsung Galaxy S8","Info: MPS Battery EB-BG950ABE for Samsung G950F Galaxy S8\n\nSuitable for:\n\nSamsung Galaxy S8",["https://mpsmobile.de/data/product/images/detail/normal/313747A3-85EB-8CBF-31E6-B68699108637.jpg","https://mpsmobile.de/data/product/images/detail/normal/93AD66FE-D54A-41B3-9F7B-8D305D745400.jpg"],"Batteries",38
"i6qKJmJfz64sS00d5V6m","Samsung Battery EB-BG973ABU 3400 mAh SM-G973 Galaxy S10 GH82-18826A","Samsung","S series","Samsung Galaxy S10","Info: Samsung Battery EB-BG973ABU 3400 mAh SM-G973 Galaxy S10 GH82-18826A\n\nSuitable for:\n\nSamsung Galaxy S10",["https://mpsmobile.de/data/product/images/detail/normal/7D194AE3-F751-36E4-140C-A558AB29118B.jpg","https://mpsmobile.de/data/product/images/detail/normal/7B4C613B-3E18-016E-D225-93EDE86FC824.jpg"],"Batteries",40
"jeWSsgqzs4rJPLxrwy2n","MPS Battery EB-BG960ABE for Samsung G960F Galaxy S9","Samsung","S series","Samsung Galaxy S9","Suitable for:\n\nSamsung Galaxy S9",["https://mpsmobile.de/data/product/images/detail/normal/3BCDB4AA-B939-C899-48AA-DDDDE1D93FCF.jpg","https://mpsmobile.de/data/product/images/detail/normal/1FFC72E7-FEB2-36D2-D4B1-8D59C6A07099.jpg"],"Batteries",46
"jj9LlGrRkpLmN2bpoqh8","Huawei Ascend G7 LCD  with frame white","Huawei","Ascend","Huawei Ascend G7","Technical Data:- IPS LCD capacitive touchscreen, 16M colors- 5.5 inches, 83.4 cm2 (~70.3% screen-to-body ratio)- 720 x 1280 pixels, 16:9 ratio (~267 ppi density)Similar product as in the video:<br>\n\nSuitable for:\n\nHuawei Ascend G7",["https://mpsmobile.de/data/product/images/detail/normal/7F6EE4BA-F1C0-69E2-A857-63C14A208833.jpg","https://mpsmobile.de/data/product/images/detail/normal/A2EE6F1E-1313-7E96-D9E3-BE2572852945.jpg"],"LCD Display",6.9
"nXwYlYwrRFzLHow8GUZv","OEM Display for Huawei Mate 7 white","Huawei","Ascend","Huawei Ascend Mate7","Info: OEM Display for Huawei Mate 7 white\n\nSuitable for:\n\nHuawei Ascend Mate7",["https://mpsmobile.de/data/product/images/detail/normal/6F8D9DA6-C372-7DEA-FBFB-05130CA7BAC6.jpg","https://mpsmobile.de/data/product/images/detail/normal/0A2FF57E-59C0-CDB4-5CF8-0C5F0AA53172.jpg"],"LCD Display",9.5
"o9CCKhYP7VUcC7qfXEK0","OEM Display Unit (Wihtout Frame) Huawei P8 black","Huawei","P series","Huawei P8","Suitable for:\n\nHuawei P8",["https://mpsmobile.de/data/product/images/detail/normal/4729F9C5-D17A-D936-1392-8F4C0EC8E1EA.jpg","https://mpsmobile.de/data/product/images/detail/normal/AA97BD24-4BBC-0F27-3F29-5E171AC96AA4.jpg"],"LCD Display",6.9
"wZEKGtgVrflLr1FNqrFS","Samsung Battery EB-BG950ABE 3000 mAh SM-G950 Galaxy S8 GH82-14642A","Samsung","S series","Samsung Galaxy S8","Info: Samsung Battery EB-BG950ABE 3000 mAh SM-G950 Galaxy S8 GH82-14642A\n\nSuitable for:\n\nSamsung Galaxy S8",["https://mpsmobile.de/data/product/images/detail/normal/31FED876-F239-0A7F-9E30-2788C550EFDD.jpg","https://mpsmobile.de/data/product/images/detail/normal/521850D6-19E9-5262-2665-28E01B402A78.jpg"],"Batteries",21
